data,value
09/10/2019 22:00:00,72.60
09/10/2019 22:02:00,59.80
09/10/2019 22:04:00,0.20
09/10/2019 22:06:00,0.00
09/10/2019 22:08:00,0.00
09/10/2019 22:10:00,0.20
09/10/2019 22:12:00,70.60
09/10/2019 22:14:00,59.10
09/10/2019 22:16:00,0.20
09/10/2019 22:18:00,0.30
09/10/2019 22:20:00,0.30
09/10/2019 22:22:00,0.00
09/10/2019 22:24:00,64.90
09/10/2019 22:26:00,59.20
09/10/2019 22:28:00,0.00
09/10/2019 22:30:00,0.20
09/10/2019 22:32:00,0.20
09/10/2019 22:34:00,0.00
09/10/2019 22:36:00,62.40
09/10/2019 22:38:00,0.00
09/10/2019 22:40:00,0.20
09/10/2019 22:42:00,0.20
09/10/2019 22:44:00,0.00
09/10/2019 22:46:00,0.20
09/10/2019 22:48:00,61.30
09/10/2019 22:50:00,0.20
09/10/2019 22:53:00,0.20
09/10/2019 22:55:00,0.30
09/10/2019 22:57:00,0.20
09/10/2019 22:59:00,72.60
09/10/2019 23:01:00,59.60
09/10/2019 23:03:00,0.00
09/10/2019 23:05:00,0.30
09/10/2019 23:07:00,0.30
09/10/2019 23:09:00,0.30
09/10/2019 23:11:00,71.20
09/10/2019 23:13:00,58.80
09/10/2019 23:15:00,0.00
09/10/2019 23:17:00,0.20
09/10/2019 23:19:00,0.30
09/10/2019 23:21:00,0.20
09/10/2019 23:23:00,66.40
09/10/2019 23:25:00,58.80
09/10/2019 23:27:00,0.20
09/10/2019 23:29:00,0.00
09/10/2019 23:31:00,0.00
09/10/2019 23:33:00,0.30
09/10/2019 23:35:00,62.70
09/10/2019 23:37:00,0.00
09/10/2019 23:39:00,0.20
09/10/2019 23:41:00,0.30
09/10/2019 23:43:00,0.20
09/10/2019 23:45:00,0.00
09/10/2019 23:47:00,61.20
09/10/2019 23:49:00,0.30
09/10/2019 23:51:00,0.20
09/10/2019 23:53:00,0.20
09/10/2019 23:55:00,0.20
09/10/2019 23:57:00,70.20
09/10/2019 23:59:00,59.80
10/10/2019 00:01:00,0.00
10/10/2019 00:03:00,0.20
10/10/2019 00:05:00,0.20
10/10/2019 00:07:00,0.00
10/10/2019 00:09:00,72.20
10/10/2019 00:11:00,59.40
10/10/2019 00:13:00,0.30
10/10/2019 00:15:00,0.20
10/10/2019 00:17:00,0.20
10/10/2019 00:19:00,0.20
10/10/2019 00:21:00,70.00
10/10/2019 00:23:00,59.20
10/10/2019 00:25:00,0.20
10/10/2019 00:27:00,0.20
10/10/2019 00:29:00,0.20
10/10/2019 00:31:00,0.20
10/10/2019 00:33:00,64.10
10/10/2019 00:35:00,56.60
10/10/2019 00:37:00,0.30
10/10/2019 00:39:00,0.30
10/10/2019 00:41:00,0.00
10/10/2019 00:43:00,0.30
10/10/2019 00:45:00,62.20
10/10/2019 00:47:00,0.20
10/10/2019 00:49:00,0.20
10/10/2019 00:51:00,0.20
10/10/2019 00:53:00,0.20
10/10/2019 00:55:00,71.40
10/10/2019 00:57:00,60.50
10/10/2019 00:59:00,0.20
10/10/2019 01:01:00,0.20
10/10/2019 01:03:00,0.00
10/10/2019 01:05:00,0.20
10/10/2019 01:07:00,72.60
10/10/2019 01:09:00,59.80
10/10/2019 01:11:00,0.30
10/10/2019 01:13:00,0.20
10/10/2019 01:15:00,0.20
10/10/2019 01:17:00,0.20
10/10/2019 01:19:00,71.00
10/10/2019 01:21:00,59.20
10/10/2019 01:23:00,0.20
10/10/2019 01:25:00,0.00
10/10/2019 01:27:00,0.00
10/10/2019 01:29:00,0.30
10/10/2019 01:31:00,66.10
10/10/2019 01:33:00,58.70
10/10/2019 01:35:00,0.20
10/10/2019 01:37:00,0.20
10/10/2019 01:39:00,0.20
10/10/2019 01:41:00,0.20
10/10/2019 01:43:00,63.10
10/10/2019 01:45:00,0.20
10/10/2019 01:47:00,0.00
10/10/2019 01:49:00,0.20
10/10/2019 01:51:00,0.20
10/10/2019 01:53:00,0.20
10/10/2019 01:55:00,61.60
10/10/2019 01:57:00,0.30
10/10/2019 01:59:00,0.20
10/10/2019 02:01:00,0.30
10/10/2019 02:03:00,0.20
10/10/2019 02:05:00,70.30
10/10/2019 02:07:00,60.40
10/10/2019 02:09:00,0.30
10/10/2019 02:11:00,0.20
10/10/2019 02:13:00,0.30
10/10/2019 02:15:00,0.20
10/10/2019 02:17:00,72.60
10/10/2019 02:19:00,59.80
10/10/2019 02:21:00,0.20
10/10/2019 02:23:00,0.20
10/10/2019 02:25:00,0.30
10/10/2019 02:27:00,0.20
10/10/2019 02:29:00,69.00
10/10/2019 02:31:00,58.70
10/10/2019 02:33:00,0.00
10/10/2019 02:35:00,0.30
10/10/2019 02:37:00,0.20
10/10/2019 02:39:00,0.20
10/10/2019 02:41:00,64.10
10/10/2019 02:43:00,58.70
10/10/2019 02:45:00,0.30
10/10/2019 02:47:00,0.30
10/10/2019 02:49:00,0.20
10/10/2019 02:51:00,0.30
10/10/2019 02:53:00,62.60
10/10/2019 02:55:00,0.30
10/10/2019 02:57:00,0.20
10/10/2019 02:59:00,0.20
10/10/2019 03:01:00,0.00
10/10/2019 03:03:00,0.00
10/10/2019 03:05:00,61.40
10/10/2019 03:07:00,0.20
10/10/2019 03:09:00,0.20
10/10/2019 03:11:00,0.20
10/10/2019 03:13:00,0.00
10/10/2019 03:15:00,69.90
10/10/2019 03:17:00,60.60
10/10/2019 03:19:00,0.30
10/10/2019 03:21:00,0.20
10/10/2019 03:23:00,0.30
10/10/2019 03:25:00,0.30
10/10/2019 03:27:00,72.60
10/10/2019 03:29:00,59.40
10/10/2019 03:31:00,0.20
10/10/2019 03:33:00,0.30
10/10/2019 03:35:00,0.20
10/10/2019 03:37:00,0.20
10/10/2019 03:39:00,70.10
10/10/2019 03:41:00,58.80
10/10/2019 03:43:00,0.30
