timestamp value
1474228830 47.7325286865
1474228981 47.6821174622
1474229118 47.2729911804
1474229241 43.9024391174
1474229339 47.7551002502
1474229413 0.0
1474229570 0.0
1474229713 0.0
1474229842 2.79069757462
1474230020 0.0
1474230184 0.0
1474230334 0.0
1474230469 0.0
1474230589 0.0
1474230760 0.0
1474230915 0.0
1474231057 2.53521132469
1474231184 0.0
1474231360 0.0
1474231522 0.0
1474231670 0.0
1474231803 0.0
1474231986 0.0
1474232154 2.14285707474
1474232308 0.0
1474232448 0.0
1474232573 0.0
1474232738 2.20363640785
1474232746 269.549987793
1474232748 0.0
1474232908 51.75
1474233054 49.3150672913
1474233185 52.2137413025
1474233366 49.7237586975
1474233533 49.5808372498
1474233685 47.3684196472
1474233823 49.5652160645
1474233946 49.7560958862
1474234278 47.7000007629
1474234422 47.5250015259
1474234551 47.4697685242
1474234730 48.2480430603
1474234895 45.8181800842
1474235045 48.0239982605
1474235086 43.8585357666
1474235181 0.0
1474235303 0.0
1474235474 0.0
1474235631 0.0
1474235773 0.0
1474235901 2.79843759537
1474236078 0.0
1474236241 0.0
1474236390 0.0
1474236524 0.0
1474236707 0.0
1474236877 0.0
1474237031 2.33766222
1474237172 0.0
1474237298 0.0
1474237473 0.0
1474237635 0.0
1474237781 0.0
1474237914 0.0
1474238095 1.98895025253
1474238263 0.0
1474238416 0.0
1474238485 5.21739149094
1474238493 270.0
1474238554 47.2131156921
1474238679 51.8400001526
1474238852 49.9421958923
1474239012 49.4775009155
1474239157 52.1627578735
1474239287 47.1046142578
1474239467 49.9799995422
1474239633 47.6891555786
1474239784 47.6821174622
1474239921 49.9532852173
1474240043 47.1836051941
1474240215 48.1604652405
1474240373 45.5696220398
1474240516 47.8321685791
1474240644 47.8125
1474240776 46.3636360168
1474240823 0.0
1474240986 0.0
1474241136 0.0
1474241271 0.0
1474241391 0.0
1474241562 2.10526323318
1474241717 0.0
1474241859 0.0
1474241985 0.0
1474242162 0.0
1474242324 0.0
1474242471 0.0
1474242605 2.6865670681
1474242787 0.0
1474242956 0.0
1474243110 0.0
1474243249 0.0
1474243374 0.0
1474243549 0.0
1474243709 2.25
1474243855 0.0
1474243986 0.0
1474244167 0.0
1474244211 16.4045448303
1474244219 224.774993896
1474244334 50.0869560242
1474244486 49.7368431091
1474244623 49.9270057678
1474244747 52.25806427
1474244919 48.1395339966
1474245078 49.7886810303
1474245222 50.0250015259
1474245351 47.4139518738
1474245531 48.0200004578
1474245695 48.2926826477
1474245846 47.7059593201
1474245981 47.9733314514
1474246103 47.2131156921
1474246274 46.315788269
1474246430 48.4615402222
1474246485 45.8181800842
1474246573 0.0
1474246700 0.0
1474246878 0.0
1474247041 0.0
1474247189 0.0
1474247323 0.0
1474247507 1.9565217495
1474247676 0.0
1474247831 0.0
1474247971 0.0
1474248097 0.0
1474248272 0.0
1474248433 0.0
1474248580 2.44897961617
1474248712 0.0
1474248894 0.0
1474249062 0.0
1474249215 0.0
1474249353 0.0
1474249477 0.0
1474249651 0.0
1474249810 2.24150943756
1474249937 0.0
1474249945 270.450012207
1474249955 72.0
1474250085 49.8461532593
1474250265 50.0
1474250431 49.8795166016
1474250582 50.0662269592
1474250719 49.9270057678
1474250841 50.1639328003
1474251013 48.1395339966
1474251171 47.8253173828
1474251314 47.8573417664
1474251442 47.8125
1474251620 48.5393257141
1474251784 46.1195106506
1474251933 48.3100662231
1474252068 45.3199996948
1474252155 45.5172424316
1474252233 0.0
1474252384 2.38410592079
1474252520 0.0
1474252641 0.0
1474252813 0.0
1474252969 0.0
1474253112 0.0
1474253240 0.0
